                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                  79.36,                      0,                      0,                      0,                      0,                      0,                      0,                 40.139,                      0,             0.00055378,             0.00055378,             0.00055378
                      2,                      0,                  20.21,                      0,                      0,                      0,                      0,                      0,                      0,                0.01803,                      0,              0.0010362,              0.0010362,              0.0010362
                      3,                      0,                 1.3288,                      0,                      0,                      0,                      0,                      0,                      0,                0.02334,                      0,              0.0014453,              0.0014453,              0.0014453
